Name,Endangerment,Speakers,Latitude,Longitude,CountriesCount,Countries
South Italian,Vulnerable,7500000,40.9798,15.249,1,Italy
Sicilian,Vulnerable,5000000,37.4399,14.5019,1,Italy
Low Saxon,Vulnerable,4800000,53.4029,10.3601,5,"Germany, Denmark, Netherlands, Poland, Russian Federation"
Belarusian,Vulnerable,4000000,53.956,27.5756,6,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine"
Lombard,Definitely endangered,3500000,45.7215,9.3273,2,"Italy, Switzerland"
Yiddish (Israel),Definitely endangered,3000000,32.0833,34.8333,1,Israel
Gondi,Vulnerable,2713790,19.5804,80.4418,1,India
Limburgian-Ripuarian,Vulnerable,2600000,50.7781,6.0864,3,"Germany, Belgium, Netherlands"
Quechua of Southern Bolivia,Vulnerable,2300000,-18.0675,-65.7641,1,Bolivia (Plurinational State of)
Kumaoni,Vulnerable,2003783,29.4778,79.8486,2,"India, Nepal"
Aymara,Vulnerable,2000000,-16.5835,-68.302,3,"Bolivia (Plurinational State of), Chile, Peru"
Emilian-Romagnol,Definitely endangered,2000000,44.127,12.0739,2,"Italy, San Marino"
Piedmontese,Definitely endangered,2000000,45.2013,7.8662,1,Italy
Venetan,Vulnerable,2000000,45.4601,12.1948,3,"Croatia, Italy, Slovenia"
Zazaki,Vulnerable,2000000,38.8824,40.4846,1,Turkey
Kurux (India),Vulnerable,1751489,22.1467,85.2758,1,India
Tamajeq,Vulnerable,1750000,17.2352,8.0859,1,Niger
Tulu,Vulnerable,1722768,12.0178,75.7067,1,India
Kangdi,Definitely endangered,1700000,32.4356,76.1242,1,India
Scots,Vulnerable,1500000,56.2189,-3.7683,1,United Kingdom of Great Britain and Northern Ireland
Torlak,Vulnerable,1500000,42.9644,22.1374,5,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia"
West Flemish,Vulnerable,1500000,51.0275,3.0541,3,"Belgium, France, Netherlands"
Bashkir,Vulnerable,1379727,54.7309,55.9863,1,Russian Federation
Chechen,Vulnerable,1331844,43.1971,45.7031,1,Russian Federation
Chuvash,Vulnerable,1325382,56.1394,47.2412,1,Russian Federation
Meithei,Vulnerable,1250000,24.7667,93.8946,1,India
Tamang,Vulnerable,1196639,27.7365,85.6858,2,"India, Nepal"
Quechua of Cuzco,Vulnerable,1115000,-13.4537,-72.0098,1,Peru
Eastern Slovak,Vulnerable,1000000,48.8068,21.7968,2,"Slovakia, Ukraine"
Ligurian,Definitely endangered,1000000,44.5748,8.7011,3,"France, Italy, Monaco"
Rusyn,Vulnerable,1000000,48.4437,22.9394,5,"Hungary, Poland, Romania, Slovakia, Ukraine"
Talysh,Vulnerable,1000000,38.814,48.6804,2,"Azerbaijan, Iran (Islamic Republic of)"
Kui,Vulnerable,916222,19.5908,83.9575,1,India
Khasi,Vulnerable,912000,25.691,91.8676,1,India
Bodo,Vulnerable,900000,26.7554,92.8674,1,India
Campidanese,Definitely endangered,900000,39.2991,8.9868,1,Italy
K'iche' (Guatemala),Vulnerable,890596,15.0309,-91.1485,1,Guatemala
Quechua of Ayacucho,Definitely endangered,850000,-13.1276,-74.2071,1,Peru
Newar,Definitely endangered,825458,27.6981,85.3198,1,Nepal
Mon,Vulnerable,800000,16.4666,97.7833,2,"Myanmar, Thailand"
Tamaceq,Definitely endangered,800000,16.7992,-3.0102,1,Mali
Avar,Vulnerable,784840,42.4801,46.8017,1,Russian Federation
Mundari,Vulnerable,750000,22.3297,86.0449,1,India
Welsh,Vulnerable,750000,52.4459,-3.5485,1,United Kingdom of Great Britain and Northern Ireland
Angika,Vulnerable,740892,24.7451,85.3124,2,"India, Nepal"
Q'eqchi' (Guatemala),Vulnerable,716101,15.4707,-90.3722,1,Guatemala
Picard,Severely endangered,700000,50.2331,2.7905,2,"Belgium, France"
Kokborok,Vulnerable,695000,23.7752,91.6918,2,"Bangladesh, India"
Basque,Vulnerable,660000,43.133,-2.0764,2,"Spain, France"
Kabard-Cherkes,Vulnerable,650000,43.7393,43.4289,2,"Russian Federation, Turkey"
Mandeali,Definitely endangered,611930,31.4099,76.9921,1,India
Friulian,Definitely endangered,600000,46.1037,13.1396,1,Italy
Quechua of Ancash and Huánuco,Definitely endangered,600000,-9.4598,-77.1789,1,Peru
Walloon,Definitely endangered,600000,50.4575,4.8559,3,"Belgium, France, Luxembourg"
Mising,Definitely endangered,550000,26.9612,94.0539,1,India
Ossete,Vulnerable,550000,42.9564,44.4946,2,"Georgia, Russian Federation"
Mizo,Vulnerable,529000,22.9988,92.9223,1,India
Dargwa,Vulnerable,503523,42.1145,47.4938,1,Russian Federation
Aromanian,Definitely endangered,500000,40.2292,21.1376,5,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia"
Brahui,Vulnerable,500000,29.0369,66.5826,3,"Iran (Islamic Republic of), Pakistan, Afghanistan"
Languedocian,Severely endangered,500000,43.8899,2.5378,1,France
Lezgian,Vulnerable,500000,41.4921,48.0541,2,"Azerbaijan, Russian Federation"
Mahasui,Definitely endangered,496024,31.2738,77.1295,1,India
Magar,Definitely endangered,489383,28.0816,83.4301,1,Nepal
Udmurt,Definitely endangered,463837,57.2315,52.8662,1,Russian Federation
Huasteca Náhuatl,Vulnerable,463183,21.3835,-98.9902,1,Mexico
Kumyk,Vulnerable,458121,43.397,46.9775,1,Russian Federation
Yakut,Vulnerable,456288,62.3496,130.8691,1,Russian Federation
Karbi,Vulnerable,420000,26.2934,93.2299,1,India
Eastern Mari,Definitely endangered,414211,56.632,47.8784,1,Russian Federation
Ingush,Vulnerable,405343,43.145,45.1043,1,Russian Federation
Erzya,Definitely endangered,400000,54.1302,45.4394,1,Russian Federation
Ho,Vulnerable,400000,21.637,86.4404,1,India
Judezmo (Israel),Severely endangered,400000,32.0872,34.7737,1,Israel
Lalo,Vulnerable,400000,25.383,99.9426,1,China
Limousin,Severely endangered,400000,46.0579,1.8017,1,France
Logudorese,Definitely endangered,400000,40.1116,9.1845,1,Italy
Mapuche (Chile),Definitely endangered,400000,-38.5653,-73.081,1,Chile
Central Náhuatl,Vulnerable,395581,19.191,-99.0236,1,Mexico
Moselle Franconian,Vulnerable,390000,49.6071,6.1248,4,"Germany, Belgium, France, Luxembourg"
Bantawa,Vulnerable,371056,27.0994,87.0048,1,Nepal
Santa,Vulnerable,360000,35.5411,102.7935,1,China
Mingrelian,Definitely endangered,350000,42.4599,41.7205,1,Georgia
West Frisian,Vulnerable,350000,53.1006,5.6579,1,Netherlands
Gurung,Definitely endangered,338925,28.275,84.1782,1,Nepal
Guajiro,Vulnerable,318500,11.8673,-71.9824,2,"Colombia, Venezuela (Bolivarian Republic of)"
Karachay-Balkar,Vulnerable,302748,44.2137,42.8466,1,Russian Federation
Adyge,Vulnerable,300000,44.9181,39.7485,7,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey"
Buryat (Trans-Baikal),Definitely endangered,300000,50.8336,109.5117,1,Russian Federation
Kurru,Definitely endangered,300000,16.6151,81.6284,1,India
Kuvi,Definitely endangered,300000,18.9478,83.5839,1,India
Limbu,Definitely endangered,300000,27.096,87.7356,2,"India, Nepal"
Moroccan Judeo-Arabic (Israel),Definitely endangered,300000,32.0476,34.7552,1,Israel
Plautdietsch,Definitely endangered,300000,47.0738,35.5545,1,Ukraine
Pontic Greek,Definitely endangered,300000,40.847,40.0149,6,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine"
"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Definitely endangered,300000,-1.8673,-78.9257,1,Ecuador
Waxiang,Vulnerable,300000,28.5652,110.3576,1,China
Oyrat,Definitely endangered,280000,46.195,88.7255,3,"China, Kyrgyzstan, Mongolia"
Garhwali,Vulnerable,279500,30.0976,79.1235,1,India
Bade,Vulnerable,250000,12.801,11.1181,1,Nigeria
Breton,Severely endangered,250000,48.2246,-3.9331,1,France
Gascon,Definitely endangered,250000,43.1811,-0.1428,2,"Spain, France"
Phula (China),Vulnerable,250000,22.6001,104.0004,1,China
Sora,Vulnerable,250000,19.1244,83.2104,1,India
Konyak,Vulnerable,248000,26.9367,95.1745,1,India
Ao,Vulnerable,243000,26.4361,94.6472,1,India
Tuvan,Vulnerable,242754,51.7134,94.3945,3,"China, Mongolia, Russian Federation"
Nafusi,Severely endangered,240000,32.6393,13.4252,1,Libyan Arab Jamahiriya
Suret,Definitely endangered,240000,36.4477,43.2971,5,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey"
Malto,Definitely endangered,224926,23.7853,85.4736,1,India
Khowar,Vulnerable,222800,35.8667,71.7956,1,Pakistan
Maiya,Vulnerable,220000,35.3151,72.908,1,Pakistan
Komi,Definitely endangered,217316,62.3087,51.5917,1,Russian Federation
Alpine Provençal,Definitely endangered,200000,44.7467,6.6796,2,"France, Italy"
Gallo,Severely endangered,200000,47.931,-2.0544,1,France
Gera,Vulnerable,200000,10.5553,10.0579,1,Nigeria
Irula,Vulnerable,200000,11.4369,76.5032,1,India
Kharia,Vulnerable,200000,21.8003,85.4956,1,India
Khorasani Turk,Vulnerable,200000,36.6596,57.854,1,Iran (Islamic Republic of)
Korku,Vulnerable,200000,20.3034,80.2441,1,India
Moksha,Definitely endangered,200000,54.1817,43.2751,1,Russian Federation
Western Armenian (Middle East),Definitely endangered,200000,33.884,35.5133,3,"Iraq, Lebanon, Syrian Arab Republic"
Western Cham,Vulnerable,200000,12.0333,105.4333,1,Cambodia
Tshangla,Vulnerable,193000,27.1275,91.9335,3,"Bhutan, China, India"
Thado,Vulnerable,191000,24.4521,93.2354,1,India
Gagauz (Bessarabia),Definitely endangered,180000,46.0922,28.7951,2,"Republic of Moldova, Ukraine"
Kului,Definitely endangered,170770,31.4403,77.1487,1,India
Adi,Vulnerable,170000,28.3527,95.2294,2,"China, India"
Lhota,Vulnerable,170000,26.1603,94.3725,1,India
Nyishi,Vulnerable,170000,27.5277,93.0981,1,India
Ngäbere (Panama),Vulnerable,169130,9.3395,-82.2428,1,Panama
Kodagu,Definitely endangered,166187,11.6952,75.9375,1,India
Corsican,Definitely endangered,160000,42.0819,9.0307,2,"France, Italy"
Dzongkha,Vulnerable,160000,27.44,89.6731,1,Bhutan
Kalmyk,Definitely endangered,153602,46.2026,45.8239,1,Russian Federation
Lak,Vulnerable,153373,42.0125,47.2521,1,Russian Federation
Asturian-Leonese,Definitely endangered,150000,42.7954,-5.6689,2,"Spain, Portugal"
Latgalian,Vulnerable,150000,56.1822,27.1362,2,"Latvia, Russian Federation"
Provençal,Severely endangered,150000,43.5485,6.1083,1,France
Rabha,Vulnerable,150000,25.9284,90.9777,1,India
Tamzabit,Vulnerable,150000,32.4816,3.6694,1,Algeria
Sherpa,Vulnerable,143693,27.739,86.839,3,"China, India, Nepal"
Tangkhul,Vulnerable,142000,25.0358,94.4824,1,India
Badaga,Definitely endangered,134514,11.3642,76.5266,1,India
Angami,Vulnerable,132000,25.7553,94.1308,1,India
Laz,Definitely endangered,130000,41.2736,41.2646,2,"Georgia, Turkey"
Tabasaran,Vulnerable,128391,41.8081,47.9882,1,Russian Federation
Chambeali,Definitely endangered,126589,32.9072,76.5307,1,India
Abkhaz,Vulnerable,125000,43.133,40.8471,3,"Georgia, Russian Federation, Turkey"
Phom,Vulnerable,123000,26.7799,94.9493,1,India
Kolami,Definitely endangered,121855,20.5093,78.1787,1,India
Navajo,Vulnerable,120000,35.8044,-108.475,1,United States of America
Sassarese,Definitely endangered,120000,40.6139,8.6132,1,Italy
Tamahaq (Algeria),Vulnerable,120000,22.8369,5.5371,1,Algeria
Konda,Definitely endangered,118597,18.2763,82.9385,1,India
Sierra Totonac,Severely endangered,118367,20.2461,-97.6586,1,Mexico
Jaunsari,Definitely endangered,114733,30.4859,78.0908,1,India
Dimasa,Vulnerable,112000,24.7368,92.9003,1,India
Ladakhi,Vulnerable,105000,34.0617,77.5909,2,"China, India"
Salar,Vulnerable,104503,36.2752,102.4584,1,China
Simi,Vulnerable,104000,25.9777,94.5922,1,India
Phurhepecha,Vulnerable,102988,19.3111,-102.041,1,Mexico
Crimean Tatar (Crimea),Severely endangered,100000,45.3212,34.3212,1,Ukraine
Dagur (Nonni),Definitely endangered,100000,47.9163,124.1235,1,China
